country,indicator,series_name,year,value,dataflow,publication_date
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1964,0.586345792,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1965,0.675970614,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1966,0.755299449,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1967,0.815438747,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1968,0.887093782,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1969,1.021158218,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1970,1.154615402,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1971,1.282194972,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1972,1.483749747,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1973,1.939185143,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1974,2.22764945,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1975,2.680355549,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1976,3.334696531,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1977,3.904926777,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1978,4.765342712,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1979,5.913511753,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1980,7.098985195,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1981,8.499083519,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1982,10.68945694,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1983,12.75372505,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1984,15.86177349,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1985,19.35342216,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1986,23.12683678,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1987,26.05221558,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1988,31.70110321,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1989,37.67673874,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1990,45.47228241,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1991,56.24111557,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1992,65.01608276,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1993,73.2067337,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1994,83.02047729,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1995,104.6620941,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1996,114.9082031,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1997,126.3537979,IMF.FAD:ICSD(1.0.0),2025-07-01
GRC,B1GQ_V_XDC,"Gross domestic product (GDP), Current prices, Domestic currency",1998,129.0572968,IMF.FAD:ICSD(1.0.0),2025-07-01
